特典内容,区分,名称,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（パパ・ママ）
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　草加柳島店,340-0033,草加市,草加市柳島501-1,048-928-7515,048-928-7515,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　春日部豊町店,344-0066,春日部市,春日部市豊町1-1-1,048-763-7924,048-763-7924,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　武蔵浦和店,336-0022,さいたま市南区,さいたま市南区白幡5-1-28  金幸ビル2F,048-710-9029,048-710-9029,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　蓮田店,349-0141,蓮田市,蓮田市西新宿2-141-1,048-768-6992,048-768-6992,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　伊奈店,362-0806,伊奈町,伊奈町小室9444-1,048-721-9062,048-721-9062,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　大宮大和田店,337-0053,さいたま市見沼区,さいたま市見沼区大和田1-821-1,048-685-2429,048-685-2429,,11:00～翌5:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　上尾向山店,362-0045,上尾市,上尾市向山1-27-7,048-781-9769,048-781-9769,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　上尾中妻店,362-0072,上尾市,上尾市中妻1-15-4,048-772-9253,048-772-9253,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　大宮本郷店,331-0802,さいたま市北区,さいたま市北区本郷町513-1,048-652-8119,048-652-8119,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　北本中丸店,364-0013,北本市,北本市中丸8-161,048-593-4486,048-593-4486,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　川島町店,350-0164,川島町,川島町吹塚1062-1,049-297-7776,049-297-7776,,11:30～翌0:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　上尾緑丘店,362-0015,上尾市,上尾市緑丘3-7-20,048-776-7329,048-776-7329,,11:30～翌5:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　所沢上新井店,359-1142,所沢市,所沢市上新井4-30-6,04-2939-2917,04-2939-2917,,11:00～翌5:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　狭山笹井店,350-1327,狭山市,狭山市笹井1-26-35,04-2953-8729,04-2953-8729,,11:00～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　入間藤沢店,358-0013,入間市,入間市上藤沢389-1,04-2964-4912,04-2964-4912,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　入間二本木店,358-0015,入間市,入間市二本木1191-1,04-2934-3400,04-29340-3400,,11:00～翌0:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　戸田下前店,335-0016,戸田市,戸田市下前2-13-10         ,048-434-7070,,,11:30～翌5:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　戸田氷川町店,335-0027,戸田市,戸田市氷川町1-1-18,048-434-4129,,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　東本郷店,334-0063,川口市,川口市東本郷846-1           ,048-287-1630,,,11:30～翌5:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　ふじみ野店,356-0045,ふじみ野市,ふじみ野市鶴ヶ岡3-14       ,049-266-9014,,,11:00～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　川越下赤坂店,350-1155,川越市,川越市下赤坂44-6             ,049-241-7121,,,11:00～24:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　みずほ台店,354-0018,富士見市,富士見市西みずほ台2-6-5     ,049-251-7397,,,11:00～翌4:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　大宮丸ヶ崎店,337-0001,さいたま市見沼区,さいたま市見沼区丸ヶ崎1070         ,048-684-3649,,,11:00～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　浦和三室店,336-0911,さいたま市緑区,さいたま市緑区三室中原後321-1,048-875-9929,,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　下間久里店,343-0045,越谷市,越谷市下間久里1007-1       ,048-977-8119,,,11:00～翌3:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　せんげん台店,343-0041,越谷市,越谷市千間台西1-5-8,048-970-4333,,,11:00～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　八潮店,340-0808,八潮市,八潮市緑町4-23-25                ,048-995-4776,,,11:00～翌4:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　吉川店,342-0041,吉川市,吉川市保1-30-7             ,0489-83-2941,,,11:00～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　松伏店,343-0111,松伏町,松伏町田中1-16-1   ,048-991-4664,,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　三郷店,341-0004,三郷市,三郷市上彦名106-1           ,048-952-6743,,,11:30～翌3:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　行田押上町店,361-0045,行田市,行田市押上町15-40           ,048-564-4129,,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　北本店,364-0047,北本市,北本市東間4-57-1 MISATO VILLAGE 1F,048-543-2919,,,11:30～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　東松山店,355-0014,東松山市,東松山市松本町1-9-29       ,0493-24-5081,,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　江南町店,360-0114,熊谷市,熊谷市江南町中央2-6-7            ,048-536-7541,,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　行田若小玉店,361-0017,行田市,行田市若小玉1591-1               ,048-553-5531,,,11:30～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　所沢亀ヶ谷店,359-0014,所沢市,所沢市亀ヶ谷東原10-1,04-2945-5929,04-2945-5929,,11:00～翌4:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　西川越店,350-1106,川越市,川越市小室498-2,049-247-5069,049-247-5069,,11:00～翌1:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　鶴ヶ島店,350-2203,鶴ヶ島市,鶴ヶ島市上広谷2-2,049-271-0750,049-271-0750,,11:00～翌2:00,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　富士見鶴瀬店,354-0021,富士見市,富士見市鶴馬1-13-22,049-254-1429,049-254-1429,,11:00～翌1:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
小学生以下のお子様にシューアイス(バニラ)1個をプレゼント。※本券のみのご利用はできません。,飲食,安楽亭　朝霞三原店,351-0025,朝霞市,朝霞市三原1-33-12,048-467-2900,048-467-2900,,11:00～翌4:20,なし,http://www.anrakutei.co.jp,埼玉県が発祥の安楽亭。地域のお子様が、元気いっぱいに成長できるよう、協賛致します!子育て中のお父様お母様の日頃の疲れがとれる様、精一杯ご奉仕いたします!
お食事とのセットドリンク税込50円引き(但し、他の割引、値引きとの併用は出来ません),飲食,四六時中　越谷レイクタウン店,343-0828,越谷市,越谷市レイクタウン3-1-1　イオンレイクタウンmori　1階,080-7178-3278,,,11:00～22:00※状況により変更になる場合がございます。,施設の定休日に準ずる,http://www.aeoneaheart.co.jp/,
お食事とのセットドリンク税込50円引き(但し、他の割引、値引きとの併用は出来ません),飲食,四六時中　羽生店,348-0039,羽生市,羽生市川崎2丁目281-3 イオンモール羽生1階,080-7104-8337,,,11:00～22:00※状況により変更になる場合がございます。,施設の定休日に準ずる,http://www.aeoneaheart.co.jp/,
お食事とのセットドリンク税込50円引き(但し、他の割引、値引きとの併用は出来ません),飲食,四六時中　与野店,338-0004,さいたま市中央区,さいたま市中央区本町西5-2-9 イオンモール与野店3階,080-7178-3367,,,11:00～22:00※状況により変更になる場合がございます。,施設の定休日に準ずる,http://www.aeoneaheart.co.jp/,
お食事とのセットドリンク税込50円引き(但し、他の割引、値引きとの併用は出来ません),飲食,四六時中　浦和美園店,336-8760,さいたま市緑区,さいたま市緑区美園5-50-1　イオンモール浦和美園1F,080-7178-3367,,,11:00～22:00※状況により変更になる場合がございます。,施設の定休日に準ずる,http://www.aeoneaheart.co.jp/,
お食事とのセットドリンク税込50円引き(但し、他の割引、値引きとの併用は出来ません),飲食,四六時中　北戸田店,335-0032,戸田市,戸田市美女木東1-3-1 イオンモール北戸田1階,080-7178-3317,,,11:00～22:00※状況により変更になる場合がございます。,施設の定休日に準ずる,http://www.aeoneaheart.co.jp/,
"カードをご提示頂いたお客様には、お会計10%OFF
※他の割引券との併用は不可
※カード1枚で4名様まで
※カードはご注文時に提示ください
※ランチタイムには利用不可
※飲み放題、コース料理利用不可",飲食,いちげん　南越谷店,343-0845,越谷市,越谷市南越谷4-3-1,048-989-5133,,,11時00分～23時00分,,http://www.via-hd.co.jp/ichigen/,
"カードをご提示頂いたお客様には、お会計10%OFF
※他の割引券との併用は不可
※カード1枚で4名様まで
※カードはご注文時に提示ください
※ランチタイムには利用不可
※飲み放題、コース料理利用不可",飲食,いちげん　武蔵浦和店,336-0027,さいたま市南区,さいたま市南区沼影1-15-12,048-866-0511,,,11時00分～0時00分,,http://www.via-hd.co.jp/ichigen/,
１０％ＯＦＦ　※他の割引券との併用は不可,飲食,ＢＥＬＬＡ　ＢＥＬＬＡ北朝霞店,351-0034,朝霞市,朝霞市西原1-5-12 ウイング北朝霞 1F,048-470-1020,048-470-1020,,11:00～23:00（L.O.22:00）,年中無休,http://www.via-hd.co.jp/foodream/business/bellabella/,6～12名様用の個室や40～120名様の貸切パーティ、お昼の「ママ会」等、会社の飲み会やデート、記念日、誕生日など様々なシーンでご利用いただけます。
"お会計金額より１０％割引　
※他券・他サービス併用不可",飲食,備長扇屋　羽生西店,348-0054,羽生市,羽生市西3-21-6,048-560-3567,,,17時00分～26時00分,無休,http://www.o-giya.co.jp/top.html,本物の備長炭で焼き上げた焼き鳥は1本84円～。焼き鳥・揚げ物・サラダはもちろん、お子様に大人気の釜めしも各種ご用意しております。ぜひお気軽にお越しください。
"お会計金額より１０％割引　
※他券・他サービス併用不可",飲食,備長扇屋　上尾井戸木店,362-0071,上尾市,上尾市井戸木2-15-8,048-789-2070,,,17時00分～25時00分,無休,http://www.o-giya.co.jp/top.html,本物の備長炭で焼き上げた焼き鳥は1本84円～。焼き鳥・揚げ物・サラダはもちろん、お子様に大人気の釜めしも各種ご用意しております。ぜひお気軽にお越しください。
